Id,LotArea,Neighborhood,OverallCond,YearBuilt,SalePrice
177,10029,ClearCr,5,1988,211000
178,13650,Sawyer,5,1958,172500
179,17423,StoneBr,5,2008,501837
180,8520,OldTown,6,1923,100000
181,2117,Somerst,5,2000,177000
182,7588,Crawfor,6,1920,200100
183,9060,Edwards,6,1957,120000
184,11426,OldTown,5,2003,200000
185,7438,BrkSide,8,1908,127000
186,22950,OldTown,9,1892,475000
187,9947,Mitchel,5,1990,173000
188,10410,OldTown,7,1916,135000
189,7018,SawyerW,5,1979,153337
190,4923,StoneBr,5,2001,286000
191,10570,Crawfor,8,1932,315000
192,7472,NAmes,9,1972,184000
193,9017,CollgCr,5,1999,192000
194,2522,Edwards,5,2004,130000
195,7180,CollgCr,7,1972,127000
196,2280,NPkVill,6,1976,148500
197,9416,Somerst,5,2007,311872
198,25419,NAmes,4,1918,235000
199,5520,OldTown,6,1912,104000
200,9591,NridgHt,5,2004,274900
201,8546,Edwards,5,2003,140000
202,10125,Mitchel,6,1977,171500
203,7000,OldTown,6,1924,112000
204,4438,CollgCr,5,2004,149000
205,3500,OldTown,7,1947,110000
206,11851,Gilbert,5,1990,180500
207,13673,Sawyer,5,1962,143900
208,12493,NAmes,5,1960,141000
209,14364,SawyerW,5,1988,277000
210,8250,NAmes,7,1964,145000
211,5604,Edwards,6,1925,98000
212,10420,Edwards,5,2009,186000
213,8640,Somerst,5,2009,252678
214,13568,CollgCr,5,1995,156000
215,10900,CollgCr,7,1977,161750
216,10011,NAmes,6,1957,134450
217,8450,CollgCr,5,2004,210000
218,9906,OldTown,4,1925,107000
219,15660,Crawfor,9,1939,311500
220,3010,Blmngtn,5,2005,167240
221,8990,CollgCr,5,2006,204900
222,8068,Gilbert,5,2002,200000
223,11475,NWAmes,6,1975,179900
224,10500,NAmes,6,1971,97000
225,13472,NridgHt,5,2003,386250
226,1680,BrDale,5,1971,112000
227,9950,NoRidge,5,1995,290000
228,1869,BrDale,6,1970,106000
229,8521,Sawyer,5,1967,125000
230,3182,Blmngtn,5,2005,192500
231,8760,NAmes,6,1959,148000
232,15138,NoRidge,5,1995,403000
233,1680,BrDale,5,1972,94500
234,10650,CollgCr,6,1976,128200
235,7851,Gilbert,5,2002,216500
236,1680,BrDale,3,1971,89500
237,8773,CollgCr,5,2004,185500
238,9453,SawyerW,7,1993,194500
239,12030,NridgHt,5,2007,318000
240,8741,Edwards,4,1945,113000
241,9000,Somerst,5,2008,262500
242,3880,OldTown,9,1945,110500
243,5000,OldTown,4,1900,79000
244,10762,SawyerW,6,1980,120000
245,8880,SawyerW,5,1994,205000
246,10400,NWAmes,5,1988,241500
247,9142,OldTown,8,1910,137000
248,11310,NAmes,5,1954,140000
249,11317,CollgCr,5,2003,180000
250,159000,ClearCr,7,1958,277000
251,5350,BrkSide,2,1940,76500
252,4750,Crawfor,5,2006,235000
253,8366,SawyerW,5,2004,173000
254,9350,NAmes,7,1964,158000
255,8400,NAmes,6,1957,145000
256,8738,Gilbert,5,1999,230000
257,8791,Somerst,5,2003,207500
258,8814,CollgCr,5,2006,220000
259,12435,CollgCr,5,2001,231500
260,12702,OldTown,5,1956,97000
261,19296,NAmes,5,1962,176000
262,9588,CollgCr,5,2007,276000
263,8471,Sawyer,7,1977,151000
264,5500,OldTown,7,1929,130000
265,5232,OldTown,5,1925,73000
266,12090,NWAmes,6,1981,175500
267,11207,Gilbert,5,1997,185000
268,8400,SWISU,8,1939,179500
269,6900,IDOTRR,6,1940,120500
270,7917,Edwards,7,1976,148000
271,10728,Somerst,5,2006,266000
272,39104,ClearCr,7,1954,241500
273,11764,NoRidge,7,1999,290000
274,9600,NAmes,6,1958,139000
275,8314,Mitchel,7,1982,124500
276,7264,BrkSide,7,1925,205000
277,9196,Mitchel,5,2003,201000
278,19138,Gilbert,5,1951,141000
279,14450,NridgHt,5,2006,415298
280,10005,ClearCr,5,1977,192000
281,11287,SawyerW,6,1989,228500
282,7200,Somerst,5,2006,185000
283,5063,NridgHt,5,2007,207500
284,9612,Somerst,5,2008,244600
285,8012,SawyerW,5,1992,179200
286,4251,Somerst,5,2006,164700
287,9786,NAmes,7,1962,159000
288,8125,NAmes,4,1971,88000
289,9819,Sawyer,5,1967,122000
290,8730,BrkSide,7,1915,153575
291,15611,CollgCr,5,2006,233230
292,5687,SWISU,6,1912,135900
293,11409,Edwards,4,1949,131000
294,16659,NWAmes,7,1977,235000
295,9600,NAmes,5,1953,167000
296,7937,Mitchel,6,1984,142500
297,13710,IDOTRR,5,1950,152000
298,7399,Somerst,5,1997,239000
299,11700,NWAmes,6,1968,175000
300,14000,Crawfor,8,1950,158500
301,15750,Crawfor,5,1953,157000
302,16226,CollgCr,5,1998,267000
303,13704,CollgCr,5,2001,205000
304,9800,CollgCr,7,1972,149900
305,18386,OldTown,9,1880,295000
306,10386,CollgCr,5,2004,305900
307,13474,SawyerW,5,1990,225000
308,7920,IDOTRR,7,1920,89500
309,12342,Edwards,5,1940,82500
310,12378,NridgHt,5,2003,360000
311,7685,Gilbert,5,1993,165600
312,8000,NAmes,6,1948,132000
313,7800,OldTown,7,1939,119900
314,215245,Timber,5,1965,375000
315,9600,OldTown,7,1925,178000
316,7795,Gilbert,5,2004,188500
317,13005,NWAmes,7,1980,260000
318,9000,Somerst,5,2006,270000
319,9900,NoRidge,5,1993,260000
320,14115,NWAmes,5,1980,187500
321,16259,NridgHt,5,2006,342643
322,12099,NridgHt,5,2004,354000
323,10380,SawyerW,5,1986,301000
324,5820,OldTown,8,1955,126175
325,11275,NAmes,7,1967,242000
326,5000,IDOTRR,6,1941,87000
327,10846,Veenker,5,1993,324000
328,11600,NAmes,5,1960,145250
329,11888,BrkSide,6,1916,214500
330,6402,IDOTRR,5,1920,78000
331,10624,NAmes,4,1964,119000
332,8176,NAmes,6,1958,139000
333,10655,NridgHt,5,2003,284000
334,8198,NridgHt,5,2004,207000
335,9042,Gilbert,5,1998,192000
336,164660,Timber,6,1965,228950
337,14157,StoneBr,5,2005,377426
338,9135,CollgCr,5,2002,214000
339,14145,NWAmes,7,1984,202500
340,12400,NAmes,7,1958,155000
341,14191,Timber,5,2002,202900
342,8400,SawyerW,4,1950,82000
343,8544,NAmes,4,1949,87500
344,8849,NridgHt,5,2005,266000
345,2592,MeadowV,3,1976,85000
346,6435,BrkSide,5,1939,140200
347,12772,NAmes,8,1960,151500
348,17600,NAmes,5,1960,157500
349,2448,NridgHt,5,2003,154000
350,20431,NridgHt,5,2005,437154
351,7820,NridgHt,5,2007,318061
352,5271,ClearCr,5,1986,190000
353,9084,Edwards,6,1941,95000
354,8520,OldTown,8,1928,105900
355,8400,SWISU,5,1940,140000
356,11249,CollgCr,5,1995,177500
357,9248,Gilbert,6,1992,173000
358,4224,MeadowV,5,1976,134000
359,6930,ClearCr,4,1958,130000
360,12011,NoRidge,5,1998,280000
361,7540,Mitchel,6,1978,156000
362,9144,BrkSide,5,1940,145000
363,7301,Edwards,5,2003,198500
364,1680,BrDale,8,1972,118000
365,18800,NWAmes,5,1976,190000
366,10690,IDOTRR,7,1920,147000
367,9500,NAmes,5,1963,159000
368,9150,NAmes,5,1962,165000
369,7800,NAmes,6,1954,132000
370,9830,NAmes,7,1959,162000
371,8121,Gilbert,5,2000,172400
372,17120,ClearCr,4,1959,134432
373,7175,SawyerW,5,1984,125000
374,10634,NAmes,6,1953,123000
375,8200,CollgCr,5,2003,219500
376,10020,Edwards,1,1922,61000
377,8846,CollgCr,5,1996,148000
378,11143,Somerst,5,2004,340000
379,11394,StoneBr,2,2010,394432
380,8123,Gilbert,5,2000,179000
381,5000,SWISU,6,1924,127000
382,7200,Somerst,5,2006,187750
383,9245,CollgCr,5,2006,213500
384,9000,SawyerW,3,1928,76000
385,53107,ClearCr,5,1992,240000
386,3182,Blmngtn,5,2004,192000
387,8410,Edwards,3,1910,81000
388,7200,Edwards,6,1976,125000
389,9382,CollgCr,5,1999,191000
390,12474,NridgHt,5,2007,426000
391,8405,Edwards,8,1900,119000
392,12209,Mitchel,5,2001,215000
393,8339,NAmes,7,1959,106500
394,7446,BrkSide,5,1941,100000
395,10134,OldTown,6,1940,109000
396,9571,Edwards,6,1956,129000
397,7200,CollgCr,5,1972,123000
398,7590,NAmes,5,1962,169500
399,8967,IDOTRR,2,1920,67000
400,8125,Somerst,5,2006,241000
401,14963,Veenker,5,1996,245500
402,8767,CollgCr,5,2005,164990
403,10200,Sawyer,8,1940,108000
404,12090,NoRidge,5,1998,258000
405,10364,Gilbert,5,1995,168000
406,9991,Sawyer,4,1976,150000
407,10480,SWISU,5,1936,115000
408,15576,Crawfor,7,1915,177000
409,14154,NridgHt,5,2006,280000
410,10800,Somerst,5,2007,339750
411,9571,Edwards,3,1958,60000
412,34650,Gilbert,5,1955,145000
413,4403,Somerst,5,2009,222000
414,8960,OldTown,6,1927,115000
415,11228,SawyerW,5,1993,228000
416,8899,Gilbert,5,2007,181134
417,7844,Sawyer,7,1978,149500
418,22420,Crawfor,6,1918,239000
419,8160,Edwards,6,1940,126000
420,8450,NAmes,6,1968,142000
421,7060,Mitchel,5,1997,206300
422,16635,NWAmes,7,1977,215000
423,21750,Mitchel,5,1954,113000
424,9200,NoRidge,5,1998,315000
425,9000,NAmes,5,1956,139000
426,3378,OldTown,8,1946,135000
427,12800,SawyerW,5,1989,275000
428,8593,NAmes,6,1957,109008
429,6762,CollgCr,5,2007,195400
430,11457,Timber,5,1988,175000
431,1680,BrDale,5,1971,85400
432,5586,OldTown,7,1920,79900
433,1920,BrDale,5,1971,122500
434,10839,Gilbert,5,1997,181000
435,1890,MeadowV,7,1972,81000
436,10667,CollgCr,6,1996,212000
437,4400,OldTown,8,1920,116000
438,6000,BrkSide,7,1926,119000
439,4280,Crawfor,6,1913,90350
440,12354,Edwards,8,1920,110000
441,15431,NridgHt,5,2008,555000
442,12108,Edwards,4,1955,118000
443,6240,BrkSide,7,1930,162900
444,3922,Blmngtn,5,2006,172500
445,8750,CollgCr,5,1994,210000
446,9855,Edwards,5,1956,127500
447,16492,NAmes,6,1966,190000
448,11214,Gilbert,5,1998,199900
449,8600,IDOTRR,6,1937,119500
450,6000,OldTown,7,1948,120000
451,5684,OldTown,8,1930,110000
452,70761,ClearCr,5,1975,280000
453,9303,Timber,5,1996,204000
454,9000,Somerst,5,2008,210000
455,9297,Mitchel,5,1976,188000
456,9600,NWAmes,6,1973,175500
457,4571,OldTown,5,1916,98000
458,53227,ClearCr,6,1954,256000
459,5100,OldTown,7,1925,161000
460,7015,BrkSide,4,1950,110000
461,8004,Somerst,5,2009,263435
462,7200,SWISU,9,1936,155000
463,8281,Sawyer,5,1965,62383
464,11988,Crawfor,7,1934,188700
465,8430,CollgCr,5,1978,124000
466,3072,Blmngtn,5,2004,178740
467,10628,NAmes,5,1970,167000
468,9480,NAmes,7,1942,146500
469,11428,NridgHt,5,2006,250000
470,9291,SawyerW,5,1993,187000
471,6820,StoneBr,5,1985,212000
472,11952,NWAmes,6,1977,190000
473,3675,Edwards,5,2005,148000
474,14977,NridgHt,5,2006,440000
475,5330,StoneBr,5,2000,251000
476,8480,Sawyer,6,1963,132500
477,13125,CollgCr,5,1997,208900
478,13693,NridgHt,5,2006,380000
479,10637,CollgCr,5,2007,297000
480,5925,OldTown,7,1937,89471
481,16033,NridgHt,5,2004,326000
482,11846,NridgHt,5,2003,374000
483,2500,OldTown,8,1915,155000
484,4500,Mitchel,5,1998,164000
485,7758,Sawyer,7,1962,132500
486,9600,NAmes,7,1950,147000
487,10289,NAmes,7,1965,156000
488,12243,NWAmes,6,1971,175000
489,10800,OldTown,4,1900,160000
490,1526,MeadowV,8,1970,86000
491,2665,MeadowV,6,1976,115000
492,9490,NAmes,7,1941,133000
493,15578,Gilbert,5,2006,172785
494,7931,NAmes,6,1960,155000
495,5784,OldTown,8,1938,91300
496,7879,IDOTRR,5,1920,34900
497,12692,NoRidge,5,1992,430000
498,9120,BrkSide,6,1925,184000
499,7800,Sawyer,7,1967,130000
500,7535,NAmes,7,1958,120000
501,1890,BrDale,5,1973,113000
502,9803,Somerst,5,2005,226700
503,9170,Edwards,7,1965,140000
504,15602,Crawfor,8,1959,289000
505,2308,NPkVill,5,1974,147000
506,7596,OldTown,5,1952,124500
507,9554,SawyerW,5,1993,215000
508,7862,Somerst,5,2009,208300
509,9600,OldTown,9,1928,161000
510,9600,NAmes,6,1959,124500
511,14559,NAmes,7,1951,164900
512,6792,NridgHt,5,2005,202665
513,9100,NAmes,5,1958,129900
514,9187,Mitchel,5,1983,134000
515,10594,Crawfor,5,1926,96500
516,12220,NridgHt,5,2009,402861
517,10448,NWAmes,6,1972,158000
518,10208,NoRidge,5,1996,265000
519,9531,CollgCr,5,1998,211000
520,10918,Crawfor,9,1926,234000
521,10800,OldTown,7,1900,106250
522,11988,NAmes,6,1957,150000
523,5000,BrkSide,7,1947,159000
524,40094,Edwards,5,2007,184750
525,11787,NoRidge,5,1996,315750
526,7500,Somerst,5,2005,176000
527,13300,NAmes,7,1956,132000
528,14948,NridgHt,5,2008,446261
529,9098,Edwards,7,1920,86000
530,32668,Crawfor,3,1957,200624
531,10200,Timber,5,1988,175000
532,6155,BrkSide,8,1920,128000
533,7200,NAmes,7,1955,107500
534,5000,BrkSide,3,1946,39300
535,9056,Gilbert,5,2004,178000
536,7000,Edwards,7,1910,107500
537,8924,CollgCr,5,1998,188000
538,12735,NAmes,5,1972,111250
539,11553,Sawyer,5,1968,158000
540,11423,CollgCr,5,2001,272000
541,14601,Timber,5,2006,315000
542,11000,NoRidge,5,2000,248000
543,10140,NWAmes,5,1998,213250
544,4058,NAmes,5,1998,133000
545,17104,Gilbert,5,2006,179665
546,13837,NWAmes,5,1988,229000
547,8737,BrkSide,7,1923,210000
548,7244,Mitchel,7,1970,129500
549,8235,OldTown,7,1955,125000
550,9375,Somerst,5,2003,263000
551,4043,NPkVill,6,1977,140000
552,6000,OldTown,6,1957,112500
553,11146,NridgHt,5,2006,255500
554,8777,Edwards,5,1949,108000
555,10625,NridgHt,5,2003,284000
556,6380,BrkSide,6,1922,113000
557,14850,NAmes,5,1957,141000
558,11040,IDOTRR,6,1920,108000
559,21872,Gilbert,5,1996,175000
560,3196,Blmngtn,5,2003,234000
561,11341,Sawyer,6,1957,121500
562,10010,Mitchel,5,1974,170000
563,13907,Edwards,6,1940,108000
564,21780,Edwards,7,1918,185000
565,13346,NoRidge,5,1992,268000
566,6858,SWISU,4,1915,128000
567,11198,StoneBr,5,2005,325000
568,10171,NridgHt,5,2004,214000
569,12327,SawyerW,8,1983,316600
570,7032,NAmes,5,1979,135960
571,13101,NAmes,5,1965,142600
572,7332,NAmes,6,1959,120000
573,13159,Timber,5,2009,224500
574,9967,Gilbert,5,2000,170000
575,10500,NAmes,7,1971,139000
576,8480,NAmes,5,1947,118500
577,6292,SWISU,7,1928,145000
578,11777,Sawyer,6,1966,164500
579,3604,Somerst,5,2007,146000
580,12150,OldTown,5,1954,131500
581,14585,NAmes,6,1960,181900
582,12704,NridgHt,5,2008,253293
583,11841,Edwards,5,1990,118500
584,13500,OldTown,9,1893,325000
585,6120,BrkSide,7,1935,133000
586,11443,Timber,5,2005,369900
587,10267,BrkSide,7,1918,130000
588,8740,Sawyer,6,1982,137000
589,25095,ClearCr,8,1968,143000
590,9100,BrkSide,6,1930,79500
591,8320,CollgCr,5,2004,185900
592,13478,NridgHt,5,2008,451950
593,6600,Mitchel,8,1982,138000
594,4435,CollgCr,5,2003,140000
595,7990,CollgCr,6,1975,110000
596,11302,StoneBr,5,2005,319000
597,3600,OldTown,7,1910,114504
598,3922,Blmngtn,5,2006,194201
599,12984,Crawfor,6,1977,217500
600,1950,Blueste,6,1980,151000
601,10927,NridgHt,5,2005,275000
602,9000,IDOTRR,6,1937,141000
603,10041,SawyerW,5,1992,220000
604,3182,Somerst,5,2004,151000
605,12803,CollgCr,5,2002,221000
606,13600,NAmes,6,1965,205000
607,12464,CollgCr,5,1996,152000
608,7800,Edwards,8,1948,225000
609,12168,Crawfor,6,1934,359100
610,7943,Sawyer,5,1961,118500
611,11050,CollgCr,5,2000,313000
612,10395,NWAmes,6,1978,148000
613,11885,CollgCr,5,2001,261500
614,8402,Mitchel,5,2007,147000
615,1491,MeadowV,6,1972,75500
616,8800,NAmes,7,1963,137500
617,7861,Gilbert,5,2002,183200
618,7227,NAmes,6,1954,105500
619,11694,NridgHt,5,2007,314813
620,12244,Timber,5,2003,305000
621,8248,Edwards,3,1914,67000
622,10800,NWAmes,7,1974,240000
623,7064,Sawyer,6,1977,135000
624,2117,Somerst,5,2000,168500
625,10400,NWAmes,5,1972,165150
626,10000,NAmes,6,1962,160000
627,12342,NAmes,5,1960,139900
628,9600,NAmes,6,1955,153000
629,11606,NAmes,5,1969,135000
630,9020,NAmes,5,1964,168500
631,9000,OldTown,6,1880,124000
632,4590,NridgHt,5,2006,209500
633,11900,NWAmes,5,1977,82500
634,9250,NAmes,7,1954,139400
635,6979,OldTown,5,1980,144000
636,10896,SWISU,7,1914,200000
637,6120,BrkSide,3,1936,60000
638,6000,OldTown,4,1954,93000
639,8777,Edwards,7,1910,85000
640,3982,Blmngtn,5,2006,264561
641,12677,NridgHt,5,2003,274000
642,7050,Somerst,5,2001,226000
643,13860,NAmes,7,1972,345000
644,10793,NWAmes,5,1969,152000
645,9187,Somerst,5,2009,370878
646,10530,NAmes,5,1971,143250
647,7200,NAmes,5,1950,98300
648,10452,Edwards,5,1953,155000
649,7700,NAmes,5,1966,155000
650,1936,MeadowV,6,1970,84500
651,8125,Somerst,6,2007,205950
652,9084,Edwards,5,1940,108000
653,8750,CollgCr,5,1996,191000
654,10320,IDOTRR,7,1906,135000
655,10437,NoRidge,6,1995,350000
656,1680,BrDale,5,1971,88000
657,10007,NAmes,7,1959,145500
658,7200,Crawfor,6,1931,149000
659,17503,NAmes,5,1948,97500
660,9937,Edwards,7,1964,167000
661,12384,NWAmes,7,1976,197900
662,46589,NoRidge,7,1994,402000
663,13560,NAmes,3,1968,110000
664,10012,Edwards,5,1972,137500
665,20896,Somerst,5,2005,423000
666,11194,Gilbert,5,2000,230500
667,18450,NAmes,5,1965,129000
668,8125,SawyerW,5,1994,193500
669,14175,Sawyer,6,1956,168000
670,11600,Crawfor,5,1922,137500
671,8633,CollgCr,5,2005,173500
672,6629,Edwards,6,1925,103600
673,11250,Veenker,6,1977,165000
674,14442,Crawfor,7,1957,257500
675,9200,NAmes,6,1965,140000
676,2289,NPkVill,6,1978,148500
677,9600,OldTown,2,1900,87000
678,9022,OldTown,8,1924,109500
679,11844,StoneBr,5,2008,372500
680,9945,Sawyer,5,1961,128500
681,8012,SawyerW,5,1980,143000
682,4500,SWISU,5,1932,159434
683,2887,ClearCr,5,1996,173000
684,11248,CollgCr,5,2002,285000
685,16770,NoRidge,5,1998,221000
686,5062,StoneBr,5,1984,207500
687,10207,Somerst,6,2007,227875
688,5105,Somerst,5,2004,148800
689,8089,StoneBr,6,2007,392000
690,7577,NridgHt,5,2005,194700
691,4426,CollgCr,5,2004,141000
692,21535,NoRidge,6,1994,755000
693,26178,Timber,5,1989,335000
694,5400,OldTown,6,1921,108480
695,6120,BrkSide,6,1936,141500
696,13811,Timber,6,1987,176000
697,6000,BrkSide,7,1921,89000
698,6420,Edwards,7,1952,123500
699,8450,Sawyer,8,1965,138500
700,4282,Somerst,5,2004,196000
701,14331,Timber,5,2002,312500
702,9600,NWAmes,5,1969,140000
703,12438,StoneBr,5,2006,361919
704,7630,OldTown,9,1900,140000
705,8400,CollgCr,5,2004,213000
706,5600,IDOTRR,5,1930,55000
707,115149,ClearCr,5,1971,302000
708,6240,NridgHt,5,2006,254000
709,9018,Gilbert,5,2007,179540
710,7162,Sawyer,7,1966,109900
711,4130,BrkSide,6,1935,52000
712,8712,IDOTRR,7,1900,102776
713,4671,StoneBr,5,1988,189000
714,9873,BrkSide,5,1970,129000
715,13517,Sawyer,8,1976,130500
716,10140,NWAmes,5,1974,165000
717,10800,OldTown,8,1890,159500
718,10000,NWAmes,6,1973,157000
719,10542,NoRidge,5,1993,341000
720,9920,CollgCr,6,1969,128500
721,6563,StoneBr,5,1985,275000
722,4426,CollgCr,5,2004,143000
723,8120,NAmes,7,1970,124500
724,8172,Edwards,6,1954,135000
725,13286,Edwards,5,2007,320000
726,6960,NAmes,6,1970,120500
727,21695,Crawfor,9,1988,222000
728,7314,CollgCr,5,2007,194500
729,11475,NAmes,5,1958,110000
730,6240,IDOTRR,5,1925,103000
731,5389,StoneBr,5,1995,236500
732,9590,Timber,5,2003,187500
733,11404,CollgCr,5,1998,222500
734,10000,Sawyer,6,1961,131400
735,8978,Sawyer,5,1968,108000
736,10800,OldTown,7,1914,163000
737,8544,NAmes,4,1950,93500
738,10463,Gilbert,5,2005,239900
739,10800,Edwards,5,1987,179000
740,9313,CollgCr,5,2004,190000
741,9600,OldTown,7,1910,132000
742,6768,Sawyer,8,1961,142000
743,8450,SawyerW,5,2000,179000
744,12886,Sawyer,6,1963,175000
745,5395,StoneBr,5,1993,180000
746,8963,NWAmes,9,1976,299800
747,8795,Gilbert,5,2000,236000
748,11700,OldTown,7,1880,265979
749,10593,NoRidge,5,1996,260400
